0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
-0.92687744,0.8469551,0.95220983,-0.86111856,0.918433,0.9110639,-0.97690934,0.7857066,0.9054234,-0.9272502,0.84209454,0.99706,-0.8315019,1.0248015,0.47166514,-1.0606327,0.7239394,0.49825776,-0.8971848,0.8181525,1.0601599,-0.85506994,1.0415479,0.068024814,-1.0673513,0.7530087,0.08326286,-0.9173883,0.8228978,1.1097631,-0.6993762,1.056629,0.010415852,-0.98859984,0.645205,0.01868552,-0.96448797,0.84437525,1.5163833,-0.88220036,0.9092084,1.2971431,-1.0117646,0.7533257,1.2971215,-0.91163915,0.8217754,1.6552262,-0.80139107,1.010557,1.3277407,-1.0886074,0.64990646,1.3696345,-0.63329923,1.2196361,1.2944723,-1.2516135,0.43021405,1.2710545,-0.49385715,1.3589165,1.3108561,-1.3980277,0.25727922,1.2959175,-0.44535112,1.4113446,1.308452,-1.4523573,0.20444942,1.2987925
-0.92689115,0.84698266,0.9522298,-0.86113054,0.9184587,0.9110833,-0.9769174,0.78572875,0.90544444,-0.9272677,0.84212595,0.9970803,-0.8315079,1.0248215,0.47168356,-1.0606266,0.7239554,0.49827683,-0.897202,0.81818306,1.0601798,-0.85506546,1.0415585,0.06804228,-1.0673476,0.75301284,0.08328128,-0.917411,0.82292855,1.1097807,-0.6993698,1.0566387,0.010438383,-0.9885976,0.6452055,0.018708348,-0.9645355,0.8444484,1.5163958,-0.88223433,0.90925854,1.297154,-1.0117991,0.75337625,1.2971405,-0.91167134,0.8218585,1.6552345,-0.80143857,1.0106174,1.3277533,-1.0886626,0.6499629,1.3696399,-0.63333124,1.2196856,1.2944951,-1.2516587,0.43024218,1.2711065,-0.49389482,1.3589702,1.3108916,-1.3980936,0.2573229,1.295955,-0.4453873,1.411397,1.3084862,-1.4524221,0.2044928,1.298844
-0.92684674,0.8470883,0.9522877,-0.8610964,0.91857636,0.9111458,-0.9768166,0.78578854,0.905502,-0.927247,0.84225243,0.9971403,-0.83151114,1.0249594,0.4717485,-1.0604777,0.72398794,0.49832872,-0.89717335,0.8182845,1.0602264,-0.8550849,1.0416903,0.0681079,-1.0673573,0.75306916,0.08333737,-0.9174237,0.8230111,1.1098123,-0.6993844,1.0567669,0.010516226,-0.98862654,0.64524263,0.0187729,-0.964689,0.8447576,1.5163989,-0.88231826,0.90945023,1.2971485,-1.01187,0.7535572,1.2971792,-0.9116115,0.82225084,1.6551697,-0.80160826,1.0108849,1.327723,-1.0888784,0.65014404,1.3695252,-0.6333771,1.2198611,1.2945132,-1.2517886,0.43018353,1.2713859,-0.49396747,1.3591646,1.3109777,-1.3983474,0.25735307,1.2961217,-0.44544983,1.411581,1.3085523,-1.452648,0.20449984,1.2991097
-0.92683554,0.84722596,0.9523182,-0.86110866,0.9187425,0.91118824,-0.97677076,0.78590494,0.9055235,-0.9272416,0.84238976,0.9971707,-0.8315329,1.0250872,0.47178105,-1.0603544,0.72400045,0.49834996,-0.8971888,0.81841826,1.0602654,-0.8550912,1.0417414,0.068136394,-1.0673263,0.7530773,0.08335978,-0.9174701,0.8231493,1.1098382,-0.6994018,1.0568087,0.010512233,-0.9886043,0.64524406,0.018795907,-0.96488917,0.84497666,1.5164026,-0.8824361,0.90962625,1.2971704,-1.0119866,0.7537321,1.2971833,-0.9116784,0.822566,1.6551379,-0.8017188,1.0110554,1.3277439,-1.0890231,0.65032923,1.3695139,-0.63345313,1.2200122,1.2945869,-1.2519549,0.43032825,1.2715011,-0.49401873,1.3592868,1.3110849,-1.398551,0.25753284,1.2962608,-0.44548625,1.4116907,1.3086827,-1.452847,0.20467484,1.2992505
-0.92682105,0.8473776,0.9523495,-0.8611175,0.9189225,0.9112316,-0.9767248,0.78603816,0.90554535,-0.92723143,0.8425394,0.99720174,-0.83155495,1.025212,0.47181004,-1.0602186,0.7240167,0.49837118,-0.89720595,0.8185662,1.0603088,-0.8551057,1.0417811,0.06816137,-1.067297,0.75307894,0.08338177,-0.91752255,0.82330716,1.1098661,-0.6994316,1.0568365,0.010492682,-0.9885863,0.64524007,0.01881349,-0.9650986,0.84521073,1.5164082,-0.88255847,0.90981734,1.297196,-1.012114,0.75392735,1.2971873,-0.9117554,0.8228902,1.6551073,-0.8018207,1.0112265,1.3277822,-1.0891631,0.6505324,1.3695161,-0.63349646,1.2201456,1.2946839,-1.2521158,0.43048835,1.2716348,-0.49399596,1.3593504,1.3112117,-1.398729,0.2577141,1.2964412,-0.44543517,1.4117287,1.3088247,-1.4530171,0.20484823,1.2994359
-0.9268046,0.8475365,0.95238096,-0.8611148,0.91909975,0.911273,-0.97668594,0.7861847,0.9055691,-0.9272195,0.8426973,0.99723303,-0.831563,1.0253217,0.4718344,-1.0600944,0.72404903,0.4983949,-0.8972218,0.81872296,1.060353,-0.8551144,1.0418102,0.06818247,-1.0672727,0.7530853,0.083405435,-0.9175724,0.82347625,1.1098952,-0.699456,1.0568517,0.0104679465,-0.9885764,0.6452375,0.018834412,-0.9652995,0.8454484,1.5164158,-0.88267285,0.9100143,1.2972243,-1.0122386,0.7541328,1.2971921,-0.9118362,0.8231809,1.655077,-0.80190724,1.0113981,1.3278208,-1.0892937,0.6507424,1.3695207,-0.6334938,1.2202544,1.2947818,-1.252258,0.43065125,1.2717645,-0.49388987,1.3593537,1.311326,-1.3988707,0.25788516,1.2966297,-0.44528598,1.4116918,1.3089355,-1.4531484,0.2050091,1.2996335
-0.92679214,0.84769064,0.9524096,-0.86110294,0.9192575,0.91130704,-0.9766654,0.78633535,0.90559375,-0.9272109,0.8428519,0.99726176,-0.83155584,1.0254022,0.4718495,-1.0600007,0.72410053,0.49841976,-0.8972378,0.8188769,1.0603931,-0.85511285,1.041824,0.068195164,-1.0672565,0.75309503,0.0834288,-0.9176174,0.82364583,1.1099219,-0.6994673,1.0568486,0.010441601,-0.98857534,0.64523804,0.018854916,-0.9654815,0.8456836,1.5164227,-0.8827715,0.91020703,1.2972503,-1.0123566,0.7543417,1.2971964,-0.9119317,0.8234238,1.655052,-0.8019701,1.0115602,1.3278539,-1.0894142,0.6509545,1.3695269,-0.6334386,1.2203294,1.2948658,-1.2523662,0.4308108,1.2718685,-0.49370998,1.3593037,1.3114077,-1.3989619,0.25803822,1.2967887,-0.44505316,1.4115914,1.3089914,-1.4532263,0.20514894,1.2997992
-0.92678994,0.84782845,0.9524425,-0.86108863,0.91938365,0.9113389,-0.97666705,0.7864753,0.905628,-0.92721283,0.8429936,0.997295,-0.8315408,1.0254576,0.47186434,-1.0599545,0.72417104,0.49845484,-0.8972535,0.8190163,1.0604321,-0.8551061,1.0418321,0.068208635,-1.0672427,0.75311595,0.08346093,-0.91765183,0.82380116,1.1099515,-0.69946295,1.0568376,0.010443509,-0.9885693,0.6452478,0.018896103,-0.9656259,0.84591484,1.5164354,-0.8828411,0.9103858,1.2972755,-1.0124578,0.75454676,1.2972106,-0.9120466,0.82362854,1.6550488,-0.80200905,1.0117127,1.3278852,-1.0895296,0.6511758,1.3695493,-0.6333512,1.2203802,1.2948991,-1.2524511,0.43099982,1.2719127,-0.49351394,1.3592465,1.3114296,-1.3990248,0.25821453,1.2968745,-0.44480926,1.411488,1.3089781,-1.4532764,0.20531201,1.2998843
-0.9267921,0.8479567,0.95246375,-0.861071,0.91949034,0.9113542,-0.9766848,0.7866122,0.9056545,-0.927217,0.8431264,0.9973167,-0.831521,1.02549,0.47186175,-1.0599324,0.72424805,0.4984823,-0.89726824,0.819147,1.060458,-0.85508955,1.0418261,0.06820458,-1.0672368,0.753129,0.08348411,-0.91768235,0.8239514,1.1099691,-0.69944584,1.0568093,0.010435224,-0.9885697,0.6452557,0.018920243,-0.9657679,0.8461524,1.5164349,-0.8829012,0.91056,1.2972875,-1.0125624,0.75475794,1.2972132,-0.91219,0.8238229,1.6550419,-0.8020272,1.0118519,1.3279023,-1.0896497,0.6514027,1.3695579,-0.6332284,1.220405,1.2949139,-1.2525122,0.43117917,1.2719303,-0.4932916,1.3591732,1.3114254,-1.3990474,0.25836486,1.2969172,-0.44454283,1.4113715,1.3089298,-1.453279,0.20544106,1.2999115
-0.9268038,0.8480795,0.952478,-0.86105585,0.919582,0.91135734,-0.97672325,0.7867497,0.905678,-0.9272287,0.8432545,0.9973315,-0.83150095,1.0255073,0.4718474,-1.0599332,0.72433156,0.49850634,-0.89728594,0.8192729,1.0604748,-0.8550656,1.0418125,0.06818879,-1.0672387,0.7531364,0.08350301,-0.91771424,0.8241013,1.1099777,-0.69941777,1.0567707,0.010423958,-0.9885741,0.64526516,0.018932581,-0.96592027,0.8464083,1.5164236,-0.8829603,0.9107377,1.2972884,-1.0126792,0.75498366,1.2972069,-0.91237134,0.8240242,1.6550331,-0.8020344,1.0119867,1.3279076,-1.0897857,0.65164536,1.3695552,-0.6330845,1.2204155,1.2949069,-1.2525628,0.4313593,1.2719264,-0.49306107,1.3590989,1.3113971,-1.3990365,0.2584951,1.2969284,-0.44427544,1.4112601,1.3088495,-1.4532375,0.20553792,1.2998878
