0,1,2
-1.0033457,0.9896498,0.97156215
-1.0033392,0.9896492,0.9715815
-1.0033293,0.9896835,0.9715873
-1.0033123,0.98973215,0.97158676
-1.0033333,0.9897958,0.9716199
-1.003324,0.9898701,0.9716531
-1.0032688,0.9899132,0.97167045
-1.003192,0.98995113,0.9716847
-1.0030991,0.98998475,0.9716915
-1.0029892,0.99001265,0.9716921
-1.0028715,0.9900354,0.9716935
-1.0027626,0.99005866,0.9717006
-1.0026704,0.99008095,0.97171235
-1.0025911,0.99010324,0.97172445
-1.0025203,0.9901316,0.97173345
-1.002481,0.9901731,0.9717322
-1.0024447,0.9902152,0.97172946
-1.0024209,0.9902568,0.97174156
-1.0024382,0.9902879,0.9717357
-1.002493,0.99030995,0.97172654
-1.0025831,0.9903321,0.97171843
-1.0026965,0.99037933,0.97171485
-1.0028154,0.9904673,0.97171915
-1.0029234,0.99058807,0.9717311
-1.0030147,0.99072874,0.9717415
-1.003088,0.99087656,0.97174317
-1.0031509,0.9910269,0.9717355
-1.0032172,0.99118054,0.9717245
-1.0032952,0.99134207,0.9717179
-1.0033791,0.9915118,0.9717212
-1.0034515,0.99164677,0.9717345
-1.0035262,0.99178386,0.97174346
-1.0035965,0.991909,0.9717411
-1.0037333,0.9920573,0.9717543
-1.0038065,0.9921212,0.9717462
-1.00386,0.9921609,0.9717305
-1.003894,0.99217427,0.9717102
-1.0039171,0.9921545,0.9716903
-1.0039448,0.9921007,0.9716757
-1.0039886,0.9920211,0.9716655
-1.0040469,0.9919306,0.9716516
-1.0041033,0.9918407,0.97163475
-1.0041494,0.99176455,0.9716219
-1.0041944,0.99172044,0.97161454
-1.004257,0.99172413,0.9716064
-1.0043664,0.9917705,0.9715578
-1.0045574,0.9918237,0.9714678
-1.0048491,0.9918283,0.97135633
-1.0052145,0.99178994,0.9712028
-1.0055429,0.99169207,0.97103626
-1.0057647,0.99155366,0.9708924
-1.0059367,0.99153936,0.97071695
-1.0060605,0.99145186,0.9705665
-1.0062292,0.9913794,0.97041446
-1.0064619,0.99133503,0.9702489
-1.0066749,0.9913194,0.9700515
-1.006807,0.9912772,0.9698294
-1.0068698,0.9911554,0.96958905
-1.0069262,0.9910221,0.96929395
-1.007081,0.99080503,0.9690271
-1.0072737,0.9907193,0.96877503
-1.0075206,0.9905803,0.9685682
-1.0078089,0.9903307,0.9685677
-1.0080153,0.9901798,0.9685318
-1.0081254,0.9902048,0.96828073
-1.0091414,0.98994374,0.96876734
-1.0089642,0.9896815,0.9686013
-1.0089984,0.98968804,0.9684441
-1.0092598,0.9898857,0.9682699
-1.0097156,0.99027467,0.9680295
-1.0102494,0.99069715,0.9678119
-1.0107949,0.9910475,0.96755403
-1.0113204,0.9914063,0.9674213
-1.0117038,0.9917246,0.96733284
-1.0118761,0.9919499,0.96732265
-1.0118859,0.992084,0.96729124
-1.0118227,0.9921578,0.9672136
-1.0117711,0.9922044,0.967123
