0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
-0.9809922,1.0022893,0.9512114,-0.9156717,1.073723,0.90929747,-1.0307122,0.9402932,0.905082,-0.98130256,0.997876,0.99610823,-0.88157415,1.1816089,0.47059402,-1.1146126,0.86480814,0.5002717,-0.95045435,0.9742627,1.0589538,-0.89560175,1.1931143,0.06632644,-1.1233437,0.8851925,0.084797084,-0.9695236,0.9785294,1.1090469,-0.73850703,1.1985463,0.010842025,-1.0334184,0.78637743,0.020433426,-1.0096152,0.9989369,1.5164728,-0.93049693,1.0638864,1.2961034,-1.0613021,0.90905195,1.2977264,-0.95688903,0.97813797,1.6556435,-0.8487457,1.1659241,1.3214599,-1.1416789,0.8061553,1.3670831,-0.6776272,1.3679198,1.2667618,-1.309521,0.59857535,1.2517864,-0.53294146,1.5027413,1.2676147,-1.445976,0.41676342,1.268702,-0.48241717,1.552403,1.2582153,-1.4958419,0.35964352,1.2674056
-0.98098564,1.0022888,0.95123076,-0.9156497,1.0737038,0.909309,-1.0307143,0.94029415,0.90510845,-0.9812994,0.9978827,0.9961283,-0.88157314,1.1815653,0.47059798,-1.114633,0.8648159,0.5003007,-0.95044607,0.97426176,1.0589684,-0.8955892,1.1931533,0.0663324,-1.1234258,0.8851846,0.08482665,-0.969476,0.97849095,1.1090798,-0.7385047,1.1985482,0.010815382,-1.0334792,0.7863809,0.020475209,-1.0096405,0.9990461,1.5164912,-0.9304608,1.063899,1.2961152,-1.0613112,0.9091031,1.2977647,-0.9567609,0.9782103,1.655598,-0.8487413,1.1659998,1.3213198,-1.1416953,0.80604064,1.3668662,-0.67762375,1.3680031,1.2666469,-1.3096306,0.5983496,1.251906,-0.5330181,1.5029098,1.2676399,-1.4467816,0.41706437,1.2688473,-0.48235852,1.5524246,1.2581942,-1.4964398,0.35976583,1.2674675
-0.98097575,1.0023232,0.95123655,-0.91563356,1.073727,0.9093057,-1.0307281,0.9403427,0.9051207,-0.9812805,0.9979137,0.9961338,-0.8815516,1.1815279,0.47058013,-1.1146556,0.864833,0.5003206,-0.95042515,0.97428954,1.0589718,-0.8955673,1.1931859,0.066316485,-1.1234787,0.8851712,0.08484572,-0.96940345,0.9784859,1.1091055,-0.7384975,1.1985364,0.01075387,-1.0335172,0.7863761,0.020501733,-1.009592,0.9991753,1.5165076,-0.93038464,1.0639445,1.2961171,-1.0612651,0.90917444,1.2978054,-0.9565873,0.9783047,1.6555617,-0.8486943,1.1661099,1.3211535,-1.1416191,0.80592203,1.3666579,-0.67763984,1.3681681,1.2664858,-1.3095491,0.5981018,1.2519233,-0.53312564,1.5031713,1.2676425,-1.4474952,0.41742593,1.2689168,-0.48232406,1.5525292,1.2581384,-1.4968728,0.35988957,1.2673709
-0.9809588,1.0023718,0.951236,-0.9156178,1.0737722,0.9092975,-1.0307223,0.9403961,0.90512574,-0.9812573,0.99796116,0.9961332,-0.88154066,1.1815449,0.47056466,-1.114658,0.86485803,0.50033265,-0.9503864,0.97433376,1.0589622,-0.89557344,1.1932081,0.06630176,-1.1235006,0.885177,0.084857166,-0.96934366,0.97852397,1.1091044,-0.7385087,1.1985463,0.010723531,-1.0335468,0.786377,0.020510137,-1.0094571,0.99926054,1.5165114,-0.9302944,1.0640073,1.2960984,-1.0611663,0.9092305,1.29783,-0.9563976,0.9783842,1.6555438,-0.84863436,1.1662099,1.3210815,-1.1414971,0.80592304,1.3666269,-0.67763233,1.3682996,1.2663661,-1.3093632,0.5980461,1.2519016,-0.5331591,1.5033463,1.2675551,-1.4475434,0.41754943,1.268899,-0.48232603,1.5526658,1.2580204,-1.4968456,0.35995,1.267299
-0.9809798,1.0024354,0.95126915,-0.9156451,1.0738366,0.90932214,-1.0307468,0.94045764,0.9051655,-0.9812733,0.9980257,0.99616647,-0.88153726,1.1815917,0.47058737,-1.1146224,0.8648528,0.50037235,-0.95035714,0.9743883,1.0589695,-0.8955616,1.1932334,0.06632358,-1.1234965,0.8851871,0.08489829,-0.9693057,0.97858495,1.1091144,-0.7385119,1.1985602,0.010701716,-1.0335554,0.7863786,0.020546615,-1.0093018,0.9993617,1.516531,-0.9302135,1.064095,1.2960871,-1.0610626,0.9092995,1.2978749,-0.9561962,0.9785155,1.6555502,-0.8486007,1.1663369,1.3210642,-1.1413841,0.80595374,1.3666253,-0.6776186,1.3684312,1.2663039,-1.3090537,0.5979283,1.2518817,-0.5331794,1.5035139,1.2675297,-1.4474586,0.41760242,1.268863,-0.482328,1.5528103,1.2579726,-1.4967426,0.35998744,1.2672596
-0.9809705,1.0025096,0.95130235,-0.91565067,1.0739224,0.9093517,-1.0307158,0.9405117,0.90520257,-0.9812675,0.9981065,0.9962003,-0.8815889,1.1817043,0.47061992,-1.1145577,0.86484534,0.500414,-0.95031106,0.97447634,1.0589862,-0.8956272,1.1933042,0.06635547,-1.1235188,0.8852298,0.08494437,-0.9692595,0.97866917,1.1091315,-0.7385925,1.1986413,0.010692358,-1.0335566,0.7864235,0.020618737,-1.0091838,0.99938667,1.5165582,-0.9301527,1.064166,1.2961073,-1.060964,0.90933853,1.2979009,-0.9560241,0.97855484,1.655559,-0.8485663,1.1664162,1.3211365,-1.1412873,0.8060256,1.3666985,-0.6776453,1.36854,1.2662946,-1.3089465,0.5980383,1.2518709,-0.5332435,1.5036631,1.2674943,-1.4472263,0.41762245,1.2689157,-0.48241657,1.5529811,1.2579191,-1.496542,0.36003292,1.267377
-0.9809153,1.0025527,0.9513197,-0.9156106,1.0739815,0.9093727,-1.0306424,0.9405421,0.90521723,-0.9812141,0.99814993,0.99621767,-0.8816103,1.1817688,0.47063753,-1.1144478,0.86481416,0.50043267,-0.95024127,0.97453535,1.0590013,-0.89564353,1.1933234,0.06637162,-1.1235044,0.8852308,0.08496666,-0.9691948,0.9787246,1.109145,-0.73861504,1.1986717,0.010692179,-1.0335258,0.7864394,0.02064079,-1.0091217,0.9993776,1.5165746,-0.9301003,1.0642002,1.296133,-1.060889,0.9093534,1.2979045,-0.9558917,0.97856355,1.6555512,-0.84849375,1.1664267,1.3211932,-1.1411989,0.80604386,1.3667228,-0.67761767,1.3686023,1.2664025,-1.3088994,0.5980314,1.2520012,-0.5332591,1.5037717,1.2675908,-1.4470841,0.41755247,1.2691494,-0.48243535,1.553089,1.2579952,-1.4963493,0.3599189,1.2676425
-0.9808384,1.0025907,0.95133394,-0.9155437,1.074033,0.9093946,-1.0305521,0.94057405,0.90522516,-0.98113894,0.9981852,0.9962316,-0.8816142,1.181814,0.47065246,-1.1143374,0.8647974,0.5004455,-0.95016664,0.97458255,1.05902,-0.89566153,1.1933379,0.0663861,-1.1234866,0.8852237,0.08498204,-0.9691325,0.97877806,1.1091585,-0.7386277,1.1986985,0.010722876,-1.0335066,0.78644043,0.020645916,-1.0090972,0.99942386,1.5165849,-0.930065,1.0642576,1.2961504,-1.0608342,0.9093942,1.2979097,-0.95578194,0.9785888,1.6555254,-0.8484449,1.1664677,1.3212339,-1.1411144,0.80609035,1.3667712,-0.67761415,1.368706,1.2665329,-1.3088589,0.59803516,1.2521913,-0.5332868,1.5039085,1.2677525,-1.4469801,0.41751826,1.2694511,-0.48244762,1.553207,1.258142,-1.4961603,0.35981184,1.2679495
-0.98074555,1.0026243,0.95134073,-0.9154545,1.074075,0.90941006,-1.0304538,0.94060874,0.9052247,-0.9810471,0.99821454,0.996238,-0.88159007,1.181844,0.47065994,-1.1142397,0.8647986,0.50045145,-0.9500891,0.9746183,1.0590359,-0.8956689,1.1933457,0.06639409,-1.1234722,0.8852148,0.08498925,-0.9690747,0.9788299,1.1091655,-0.738634,1.198705,0.010733724,-1.0335058,0.78642833,0.020639122,-1.0091107,0.99951786,1.5165827,-0.9300488,1.0643355,1.2961543,-1.0608002,0.9094571,1.2979093,-0.95570266,0.9786225,1.6554787,-0.8484365,1.1665474,1.321255,-1.1410458,0.8061626,1.366825,-0.6776477,1.3688502,1.2666613,-1.3088117,0.59803003,1.252417,-0.5333281,1.5040603,1.2679529,-1.446908,0.41750312,1.2697705,-0.48246163,1.5533338,1.2583578,-1.4960201,0.35973865,1.2682712
-0.98063564,1.0026522,0.95134133,-0.91534203,1.0741045,0.90941733,-1.0303448,0.9406416,0.90521955,-0.98093796,0.9982389,0.99623823,-0.8815429,1.1818665,0.47066036,-1.1141585,0.86481464,0.50045526,-0.9500022,0.9746505,1.0590501,-0.89566404,1.1933466,0.06639534,-1.1234663,0.8852081,0.08499366,-0.96901083,0.97887677,1.1091697,-0.7386424,1.1986911,0.010696113,-1.0335277,0.78640985,0.02062267,-1.009171,0.9996207,1.5165718,-0.93005025,1.0644143,1.2961574,-1.0607852,0.9095218,1.2978961,-0.95567095,0.97864366,1.6554201,-0.84846234,1.1666436,1.3212669,-1.1410153,0.8062358,1.3668427,-0.67769814,1.3689969,1.2667832,-1.3087807,0.5979983,1.2526252,-0.53337663,1.5042039,1.2681603,-1.4468707,0.41747528,1.2700691,-0.48248804,1.5534644,1.2586164,-1.495935,0.3596698,1.268589
